Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
108,1-2467764621,"ADANI INSTITUTE OF INFRASTRUCTURE
MANAGEMENT",Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
109,1-2186413611,"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY  WITHIN AHMEDABAD
MUNICIPAL CORPORATION LIMIT",Central,Gujarat,AHMEDABAD,AHMADABAD,Group-1
110,1-9466899481,"AHMEDABAD INSTITUTE OF HOSPITALITY
MANAGEMENT",Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
111,1-2931693,AHMEDABAD INSTITUTE OF TECHNOLOGY,Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
112,1-4841381,"ALPHA COLLEGE OF ENGINEERING &
TECHNOLOGY",Central,Gujarat,GANDHINAGAR,KALOL,Group-1
113,1-485046991,AMRUT INSTITUTE JUNAGADH,Central,Gujarat,JUNAGADH,KHADIYA,Group-1
114,1-8432431,"ANAND INSTITUTE OF MANAGEMENT AND
INFORMATION SCIENCE",Central,Gujarat,ANAND,ANAND,Group-1
115,1-44232001555,APOLLO HMCT COLLEGE,Central,Gujarat,JUNAGADH,VISAVADAR,Group-1
116,1-2186688401,"APOLLO INSTITUTE OF ENGGINEERING &
TECHNOLOGY",Central,Gujarat,AHMEDABAD,ANASAN,Group-1
117,1-475712711,"ARPIT INSTITUTE OF ENGINEERING AND
TECHNOLOGY (DIPLOMA)",Central,Gujarat,RAJKOT,HADALA,Group-1
118,1-422444201,ARRDEKTA INSTITUTE OF TECHNOLOGY,Central,Gujarat,SABARKANTHA,RADHIWAD,Group-1
119,1-410859461,ARUN MUCHHALA ENGINEERING COLLEGE,Central,Gujarat,AMRELI,DHARI,Group-1
120,1-2511491,"ASIA PACIFIC INSTITUTE OF HOTEL
MANAGEMENT",Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
121,1-2187393761,ASIAN INSTITUTE OF TECHNOLGY,Central,Gujarat,SABARKANTHA,IDAR,Group-1
122,1-1553813651,ASIATIC INSTITUTE OF SCIENCE & TECHNOLOGY,Central,Gujarat,RAJKOT,GONDAL,Group-1
123,1-1711090,ATMIYA UNIVERSITY,Central,Gujarat,RAJKOT,RAJKOT,Group-1
124,1-423188921,ATUL POLYTECHNIC,Central,Gujarat,GANDHINAGAR,MANSA,Group-1
125,1-3403771,AURUM INSTITUTE OF TECHNOLOGY,Central,Gujarat,RAJKOT,RAJKOT,Group-1
126,1-5981451,"B. H. GARDI COLLEGE OF ENGINEERING &
TECHNOLOGY",Central,Gujarat,JAMNAGAR,ANANDPAR,Group-1
127,1-412736271,B. S. PATEL POLYTECHNIC,Central,Gujarat,MEHSANA,KHERVA,Group-1
128,1-404434391,BALASINOR COLLEGE OF POLYTECHNIC,Central,Gujarat,KHEDA,BALASINOR,Group-1
129,1-3351195101,"BHAGWAN ARIHANT INSTITUTE OF
TECHNOLOGY",Central,Gujarat,SURAT,SURAT,Group-1
130,1-6384145,"BHAGWAN MAHAVIR COLLEGE OF
ENGINEERING AND TECHNOLOGY",Central,Gujarat,SURAT,SURAT,Group-1
131,1-3350034791,"BHAGWAN MAHAVIR COLLEGE OF HOTEL
MANAGEMENT",Central,Gujarat,SURAT,SURAT,Group-1
132,1-10035944,"BHAGWAN MAHAVIR COLLEGE OF
MANAGEMENT",Central,Gujarat,SURAT,SURAT,Group-1
133,1-404370901,BHAGWAN MAHAVIR POLYTECHNIC,Central,Gujarat,SURAT,SURAT,Group-1
134,1-421475401,"BHAILALBHAI & BHIKHABHAI INSTITUTE OF
TECHNOLOGY",Central,Gujarat,ANAND,"VALLABH
VIDYANAGAR",Group-1
135,1-2201310801,BHAVNAGAR POLYTECHNIC INSTITUTE,Central,Gujarat,BHAVNAGAR,SIHOR,Group-1
136,1-421175351,"BHULABHAI VANMALIBHAI PATEL INSTITUTE OF
TECHNOLOGY(DIPLOMA STUDIES)",Central,Gujarat,SURAT,BARDOLI,Group-1
137,1-2513951,BIRLA VISHVAKARMA MAHAVIDYALAYA,Central,Gujarat,ANAND,"VALLABH
VIDYANAGAR",Group-1
138,1-439860163,BUTLER POLYTECHNIC,Central,Gujarat,VADODARA,VADODARA,Group-1
139,1-9717591,"C K SHAH VIJAPURWALA INSTITUTE OF
MANAGEMENT",Central,Gujarat,VADODARA,VADODARA,Group-1
140,1-43420524890,"C Z PATEL COLLEGE OF BUSINESS AND
MANAGEMENT",Central,Gujarat,ANAND,"NEW VALLABH
VIDYANAGAR",Group-1
